"","Site.Name","Integrated.Site...Please.don.t.edit.","Navigate.to","Walking.Directions","Planning.Notes","Access.Notes","Project","Basin","Stream.River","Lat.Long","Lat","Long"
"11","07LMS103591","No","Middle Fork Snoqualmie trailhead (approximately 9.1 miles from the Mount Baker-Snoqualmie National Forest sign)","Walk down Pratt River Trail across the river (right at the T). Continue down trail until the first large creek crossing (approximately 15 minute walk). There is a wooden bridge crossing over it. Cross bridge and climb up beyond several small waterfalls. There is a wooden bridge crossing over it. Site is approx. ~100 m down stream of bridge. Site is beyond step pools where stream flattens a bit.


PRIOR TO 2024: ��Cross bridge and�climb up�beyond several�small waterfalls. You must weave and scramble up the boulders to find the riffles.","Bring large kick net - site is a series of cascading pools with large substrate; placing Surber will be difficult","Middle Fork Snoqualmie trailhead (approximately 9.1 miles from the Mount Baker-Snoqualmie National Forest sign). Walk down Pratt River Trail across the river (right at the T). Continue down trail until the first large creek crossing (approximately 15 minute walk). There is a wooden bridge crossing over it. Site is approx. ~100 m down stream of bridge. Site is beyond step pools where stream flattens a bit.


PRIOR TO 2024: ��Cross bridge and�climb up�beyond several�small waterfalls. You must weave and scramble up the boulders to find the riffles.","Ambient - KC","Lower Middle Fork Snoqualmie","Snoqualmie River - Middle Fork tributary (Lower)","47.54324, -121.54146  ","47.54324","-121.54146"
"12","07LMS213875","No","Navigate to ""Granite Creek Trailhead Parking Area"" but continue on NF-5600 past parking area turnout and park just south of bridge on gravel pulloff. Parking coordinates 47.4949503, -121.6425639.  ","Use well marked dirt path on west side ofNF-5600 to access river.","Before planning check USGS gauge #12141300 Middle Fork Snoqualmie, only go when flows are below ___. No permission needed. LimiteD/Spotty cell service.","Take exit 34 off of I-90 headed East (left off exit). Then take 468th Ave (don�t turn R on 144th St�doesn�t go through Middle Fork/Lk Dorothy Rd). Turn right (east) onto SE Middle Fork Rd. Follow SE Middle Fork Road until it meets up with SE Lake Dorothy Road ; turn left to stay on SE Middle Fork Rod.  Bridge is ~2.6 miles from Mailbox Peak turnoff. Park on left pullout before bridge, and follow trail to stream. Easy access and seems like people visit often to fish or swim. Sample U/S of confluence on RB","Ambient - KC","Lower Middle Fork Snoqualmie","Snoqualmie River - Middle Fork tributary (Lower)","47.4949503, -121.6425639","47.4949503","-121.642564"
"13","07LNT062039","No","Download offline map before you leave! First navigate to a Campbell Global gate at (47.7133485, -121.8932615) After passing the gate, stay on NE Fork Rd for ~4 miles. Take a sharp left at �Logging Trucks Turn� sign. Follow maps below or offline Google Maps to the site point (47.722639, -121.739274). Park at junction of main road and dirt/overgrown road (indicated on maps).","Walk down towards water starting near where you park. No trail but easy walking for about 5-10 mins, and some flagging. ","Go in August when flows are low and before the rain. Check gages to determine if 3 people are needed. Changed name to LNT from TLT. Hunting starting in October, wear bright vests
AKA LNF_Tolt_05","Access to this site is the same as the two ways to enter for 07LNT075179, and 07LNT130827. Also see those site sheets to determine which way to enter/leave.�
From Carnation, take right onto NE Stillwater Rd/Kelly Rd NE. Turn right on NE North Fork Rd, which is gated. After passing gated/fenced facility and ponds on right side (after ~4 miles), take a sharp left at �Logging Trucks Turn� sign. Follow maps below or offline Google Maps. Park at junction of main road and dirt/overgrown road (indicated on maps).�Enter woods near road junction and parking spot; look for pink flagging on two trees straddling overgrown trail. Hike east down to stream. ~10 minute hike. No path but easy spots to walk in.","Ambient - KC","Lower North Fork Tolt River-Tolt River","Tolt River","47.722639, -121.739274","47.722639","-121.739274"
"14","07LNT075179","No","Kelly Gate: 47.713446,-121.893320. Need Campbell Global key to open gates. Download map for offline use from gate to site GPS point. This should direct you to road NF-6250, which is blocked by trees just west of NFD 210 Trail. Park car here.","Follow road to the creek the GPS point is on. Follow the creek to the point. You will be U/S so be careful not to step in the creek. This is a difficult hike over large river rocks.","2023: 3 people is helpful, we took KHM and it was a fun one. 2021: Bring 3 people. This site took the whole day with 3 people, takes ~45 minutes to drive to site from Kelley Gate, and takes ~20 minutes of walking after parked. Download offline map and save GPS point before going. 2019: Go in August. 2018: From Kelly RD gate, can take another 60+ minutes to drive to site and park near the hay. From parking, it took 60 minutes to walk down carefully to sampling point. Plan ahead accordingly for time. Also, put in the GPS point (google maps or on a GPS) to the site right when you get to the Kelly RD gate to help you get to the site.  2017: sample with 07LNT130827. May access from river, difficult to see outlet, may have to park above and bushwack. Leave access letter on dashboard","2023: We parked at bridge as suggested in 2022 and it worked well. Need offline maps/paper maps. the CG key. Returning team member confirmed using the bridge as a base was easier than hiking DS from individual parking lot. 2022: Suggest parking at South Tolt Bridge and walking along river, slightly US in creek to site (instead of walking up/down creek from NF-6250). Westward NF-6250 road is impassable. Parked at junction of NF-6250 and NFD 210 Trail roads. 2021: Drove to Kelley Gate (coordinates below). Then drove ~4 miles on road and then turned left at 'Logging  Trucks Bypass' sign. If gate is closed, Campbell Global key works. After this, we used offline Google Maps to guide us to the site. (load the coordinates before going into Kelley Gate). When driving back to Kelley Gate, you might not be able to use offline Google Maps because the roads might not load. Either use GPS or rely on maps. Some service returns ~15 minutes after driving back. Took ~20 minutes to hike down from parking spot.

There are two routes to this site (and 07LNT130827), use Googlemaps to navigate to the starting point rather than the site, you will soon lose reception so follow maps closely after at starting points: 1) Access from Carnation Duvall Road / Kelly Road and Gate: (GPS coordinates of Kelly Gate: 47.713446,-121.893320)- Once through Kelly Gate (2018: Campbell global key worked fine to open gate. 2017: SPU may have to open this gate for you, we weren�t able to test the $500 key, someone let us in from SPU). Follow this road for about 2.5 miles until you reach the Logging Bypass gate on the left, it is a distinct left turn onto a more gravel-y road (the gate was left open in 2018, but normally use the $500 key to open it). Follow the map using the outlined yellow line and refer to LNT Info Sheet until you reach site (see photo below). \\ From the Carnation-Duvall Rd (SR 203), take the Kelly Rd gate (North Fork Rd, check key) and follow �logging truck� bypass (gravel-y road) to the left. This left turn is before a gated gorge bridge to Seattle City Light land, if you get to this bridge you have gone too far. Take the bypass (highlighted) near Yellow Creek to go around the closed road (2016). Turning off onto NFD 6250 you can bushwack down on the second stream crossing. Or take a right onto NF-6200-3. You�ll cross over the North Fork Tolt River bridge, park and go down the steep rocks to the river and head downriver to the site as described in route 2 below. Stop in Redmond/Carnation for food/bathrooms. 2) Access from Highway 2 to Goldbar: past Zeke�s Drive-in (type this into google maps) and after a big bend you turn right onto NF road 6200. You will reach the first gate (use $500 key), continue driving following the map, and you�ll reach a Y, keep right. Then you�ll reach a T, turn left, then you�ll reach another Gate (Proctor Cr., same key), you�ll be on 62001 and and you reach another Y, stay right. Take right again (at the T), then there will be a straight stretch, continue and you�ll turn right (don�t continue straight). Continue until you reach the end of the road with straw/hay hill. You may pass piping on the side of the road along the way close to the site. (Most direct route). 2016 Description: First Gate � do not enter (if open) without checking to see if key works! First Y take the right, then left, there will be another gate (Proctor Cr., check key) and you�ll be on 62001 then right and right, there will be a straight stretch, at the T take a right onto NF-6200-3. You can enter from the North Fork Tolt River bridge, park and go down the steep rocks to the river and head downriver to the site, trying not to enter the water upstream of 07LNT130827 ~20-30 min walk. Safe to cross below pool. Or take NFD 6250 Rd and bushwack down. (Bushwack). Possible to find second trib mouth for 07LNT075179 from river, but difficult. ~400 m DS of this site, US of big cedar and left bend in the river. Switching routes (Carnation vs Goldbar) may take over an hour.","Ambient - KC","Lower North Fork Tolt River-Tolt River","Tolt River","47.743390, -121.708721","47.74339","-121.708721"
"15","07LNT130827","No","Kelly Gate: 47.713446,-121.893320. Download offline map and navigate to riffle coordinates. ","Park at bridge over Tolt. Walk down to bank and move DS to riffle, you may need to rock hop/bushwack to avoid going into stream.","Bring 3 people. Main stem Tolt (3rd order) not the trib that it seems closest to on the map. Probably best to ask for permission from both Cambell Global and Seattle City Light - if access from south, it Seattle land, if accessing from north, it's CG land. Place copy of access letter on dashboard while sampling. 2017: entered from bridge along river, walked downstream. Sample with 07LNT075179","2024: Parked at the bridge and walked down the stream to site
2023: Drove to Kelley Gate, at 4 mi take a left down logging road, CG key to open gate (don;t keep on paved road, there are multiple gates we don;t have keys to down there and you just get stuck). Then followed downloaded maps/paper maps to bridge over  North Fork Tolt US of site. This allowed us to sample both sites without moving the cars. We started with LNT075179 before coming back US to this site. 2021: Drove to Kelley Gate (coordinates below). Then drove ~4 miles on road and then turned left at 'Logging  Trucks Bypass' sign. If gate is closed, Campbell Global key works. After this, we used offline Google Maps to guide us to the site. (load the coordinates before going into Kelley Gate). When driving back to Kelley Gate, you might not be able to use offline Google Maps because the roads might not load. Either use GPS or rely on maps. Some service returns ~15 minutes after driving back. Took ~15 minutes to hike to site from parking spot.

Refer to site sheet screenshots to plan route. To get to the main gate on Kelly Rd, go through Carnation north on highway 203, then turn right on to NE Stillwater Rd, which veers North and turns into Kelly Rd NE. Just after NE 127th St, there is a gravel road on the right.  Turn up onto this and use the Campbell Global key to go through the gate.  Alternate access instructions:  From Carnation, take right onto NE Stillwater Rd/Kelly Rd NE. Turn right on NE North Fork Rd, which is gated. After passing gated/fenced facility and ponds on right side, take a sharp left at �Logging Trucks Turn� sign. Follow maps below. Park at junction of main road and dirt/overgrown road (indicated on maps).
There are two routes to this site (and 07LNT075179), use Googlemaps to navigate to the starting point rather than the site, you will soon lose reception so follow maps closely after at starting points: 1) Access from Carnation Duvall Road / Kelly Road and Gate: (GPS coordinates of Kelly Gate: 47.713446,-121.893320). Once through Kelly Gate (2021: Cambell Golbal key works. SPU may have to open this gate for you, we weren�t able to test the $500 key, someone let us in from SPU in 2017). Follow this road for about 4 miles until you reach the Bypass gate on the left � use the $500 key for this. Follow the map using the outlined yellow line and refer to LNT Info Sheet until you reach site (see photo below). You will reach a �T� once close to site. You can enter this site either by continuing walking D/S past 07LNT075179 to site, or instead of turning right at the T, you turn left and once you reach the bridge (North Tolt River Bridge), cross over and park and go down the steep rocks to the river and head downriver to the site, trying not to enter the water. The second way was done in 2017 and is recommended. 2016 Notes: From the Carnation-Duvall Rd (SR 203), take the Kelly Rd gate (North Fork Rd, check key) and follow �logging truck� bypass to the left before gated gorge bridge to Seattle City Light. If possible, take the bypass (highlighted) near Yellow Creek to go around the closed road (2016). Take a right onto NF-6200-3. You�ll cross over the North Fork Tolt River bridge, park and go down the steep rocks to the river and head downriver to the site, trying not to enter the water. Stop in Redmond/Carnation for food/bathrooms. 2) Access from Highway 2 to Goldbar: past Zeke�s Drive-in (type this into google maps) and after a big bend you turn right onto NF road 6200. You will reach the first gate (use $500 key), continue driving following the map, and you�ll reach a Y, keep right. Then you�ll reach a T, turn left, then you�ll reach another Gate (Proctor Cr., same key), you�ll be on 62001 and you reach another Y, stay right. Take right again (at the T), then there will be a straight stretch- you can turn right and park where you would park for 07LNT075179, or you can go straight and cross over the bridge (North Tolt River Bridge). Park and go down the steep rocks to the river and head downriver to the site, trying not to enter the water. The second way was done in 2017 and is recommended. 2016 Notes: Most direct � Highway 2 to Goldbar, past Zeke�s Drive-in and big bend to NF road 6200 on right. Gate � do not enter (if open) without checking to see if key works! First Y take the right, then left, there will be another gate (Proctor Cr., check key) and you�ll be on 62001 then right and right, there will be a straight stretch, at the T take a right onto NF-6200-3. You�ll cross over the North Fork Tolt River bridge, park and go down the steep rocks to the river and head downriver to the site, trying not to enter the water. Possible to find second trib mouth for 07LNT075179 from river, but difficult. ~400 m DS of this site, US of big cedar and left bend in the river. Switching routes may take over an hour.","Ambient - KC","Lower North Fork Tolt River-Tolt River","Tolt River","47.744648, -121.705084","47.744648","-121.705084"
"16","07LNT163403","No","Download offline map before you leave! From the office, navigate to a Campbell Global gate at (47.7133485, -121.8932615) After passing the gate, stay on NE Fork Rd for ~4 miles. At the fork, indicated on the map, stay left. You will come to another gate, and the site is about .3 miles after the gate. Pink flagging on the right. If you are coming from another site, navigate to the site point with offline map: (47.7442984784999, -121.820776991.)","Bushwack down to stream starting near the pink flagging on the tree across the road (photo). Extremely dense salmon berry. ","New site (2018), scouted (2016) but not yet sampled. Need Campbell Global key
AKA LNF_Tolt_17","Take Stillwater/Kelly Rd NE, then NE Stossel Creek Way, then follow map! 2021: there is another route to get there that is much faster! Drove to Kelley Gate: (47.713446,-121.893320). Then drove ~4 miles on road and then turned left at 'Logging  Trucks Bypass' sign. If gate is closed, Campbell Global key works. Drive up well graveled logging road like you are going to LNF_Tolt 15 (see map) but instead at the ""Y"" in the road take a left. Drive on road until you reach gps point for the site. you may have to go through another locked gate. it was open for us but campbell key should open this if it is closed.  (GPS coordinates of Kelly Gate: 47.713446,-121.893320).","Ambient - KC","Lower North Fork Tolt River-Tolt River","#N/A","47.7442984784999, -121.820776991 ","47.74429848","-121.820777"
"17","07PAT166087","No","Aldarra Golf Course. Need to call in to open main gate. Follow to the main parking lot on the left. ","Walk down the golfcourse trail below the parking lot. You will walk past a wooden garbage can and chest on the left side of the trail. Those will be directly above the transect. Walk till the wooden fence on the left ends and then walk down and access the BOR. If you have walked past a large brick silo then you have gone too far.","Mondays golf course is closed, great time to sample here. Beware of bears seen in the area. Old site name: PAT_30","2023: Set appointment date with Sean, texted upon leaving KSC, he gave us code and showed us to site when we got in. 2022: We were not able to open gate using call pad or phone numbers on site sheet. Followed a car in when gate was opened, but got a stern talking to so maybe don't do that again. 2021: Main parking lot is the seocnd parking lot you will pass. Trail is paved and below the parking lot. About a 4 min walk from parking lot. 2020: Can also get to trail through parking lot by walking south towards the trees, then SE. 2019: Go to the Aldarra Golf Course main road and turn into the main gate. Follow till the first main parking lot on the left. Then walk down the golf course trail below the parking lot. You will walk past a wooden garbage can and chest on the left side of the trail. Those will be directly above the transect. Walk till the wooden fence on the left ends and then walk down and access the BOR. If you have walked past a large brick silo then you have gone too far. 

Previous: Aldarra Golf Course: 29125 SE Duthie Hill Rd. 98075. Gate easy to miss; white fence along property before Duthie T�s with 202. Park by wooden fence on main road- try not to drive down smaller paved road to the left, it�s for golf carts. Walk down small road, stream will be on the left side, sample D/S of wooden fence on left side of road.  ","Ambient - KC","Patterson Creek","Canyon Creek (Snoqualmie River)","47.5834260756, -121.9512757","47.58342608","-121.951276"
"18","07PAT187623","Near 07PAT_bug1","2920 309th Ave SE. If you can't park at house, park at pull out where SE 31st St and 308th Ave N become 309th Ave SE.","2024: Enter property where RV Camper is parked off of 308th.  Go through gate to the north of the driveway (by livestock pens).
Past: 47.5813483, -121.9309108. Access stream through cattle gate on right side of house and walk through backyard field. Stream is more run than riffle, so you may need to walk to find adequate sampling spot.","2020: MAP UPDATED - also changed Image2 and Image3 to DoNotUse1 and DoNotUse2. 2018: Beth visited and determined it's sampleable. NOTE: property now has a house on it, photos on site sheet need updating; 2017: DNS. Stagnent water, no riffle habitat. Possible beaver activity. Visited 8/15.17. Deep riffle, go at lowest flow possible. Old site name: PAT_33","2024: Glen asked us to use the gate accessed off 308th Ave (where a large RV camper is parked) We parked at a pullout at the intersection of SE 31st St and 309th Ave SE  2023: Had permission from Glen to use 308th ave gate, parkedc in front of apple tree with big camper next to us. Gate has rusty chain you must loop around nail to close. BETH - Update GPS point in SiteMaster to be the point in site comments from 2020 - also update GPS point in PSSB and BIBI Habitat. (2020: Navigated to 2920 309th Ave SE (blue/grey house). Parked in front of house next to guardrail. No shoulder, so may want to ask homeowners if you can park in their driveway.)

Heading E on I-90, take exit 17 toward E Lake Sammamish Pkwy SE. Continue onto E Lake Sammamish Pkwy, turn R onto SE Issaquah-Fall City Rd, which turns into SE Duthie Hill Rd (and 292nd Ave SE for a short distance). Turn R onto WA-202 E. Turn L onto 308th Ave SE. There is a blue/grey house at access point, DO NOT BLOCK DRIVEWAY AND CLOSE GATE AFTER YOU ENTER (gate is not locked there). Access stream from directly across field from mulch trail to the right of the house. Let him know a few days in advance of your arrival.","Ambient - KC","Patterson Creek","Patterson Creek","47.5813483, -121.9309108","47.5813483","-121.930911"
"19","07PAT228627","Near 07PAT_bug2","8311 372nd Pl SE","","Coordinate with Tribe","Navigate to 8311 372nd Pl SE, Snoqualmie. Park in pull out just past ""school bus turn around"" sign. From the pull out, walk downhill (back the way you came), about 30 meters past the school bus turn around sign. A dead tree with orange and white flagging marks the entrance trail (most likely a game trail). The trail is over grown but you can still see where the trail leads. There is additional orange flagging along the way. Near the stream the trail opens up to an old overgrown logging road. Follow game trail through tunnel-like area in thick salmonberry (might be a bear trail). There is a dry creek bed that is about a 3 foot drop, stream near the beginning of the dry creek bed to the left. Go U/S until you find the temp logger. Once you reach the temp logger continue U/S to find the bottom of the reach. The bottom of the reach is past a jog jam (with tons of pebbles trapped behind it). There is orange flagging at the bottom of the reach. ","Ambient - KC","Patterson Creek","Coal Creek (Snoqualmie River)","47.52369704, -121.8446338","47.52369704","-121.844634"
"20","07PAT231079","No","5610 Lake Alice Road SE. Drive onto property, park near red barn. See access map. (RJG Checked 7/21/23)","Look for a small trail behind barn that goes down to creek. You are not looking for the trail that goes to the old water pump."," 2019: Emailed on 8/13 to set appt. for 8/28 between 1-2pm. Go earlier than October for better flows. Old site name: PAT_40","Navigate to 5610 Lake Alice Road SE. use Inga Rouches' property to access creek. Drive onto property, park near red barn. Look for a small trail behind barn that goes down to creek. You are not looking for the trail that goes to the old water pump. Inga is very friendly and can point you in the right direction. Several buildings are on property. House closest to creek and road is a rental, Inga will let them know we are coming. Don't need to bother them. ","Ambient - KC","Patterson Creek","","47.54926, -121.88884","47.54926","-121.88884"
"21","07RAG004615","No","5935 Preston-Fall City Rd SE. Driveway is first left turn after Carmichael Rd.","Around the back of the Pinorini house, follow steps down to river.","2021: check if new GPS points needed. old site name: RAG_02","2024 update: Off Preston-Fall City RD SE, turn into Jean and Harold Pinorini's property at 5935 Preston-Fall City Road SE - first left turn onto gravel driveway after large green pillars at gravel mine/Carmichael Road, park off to the left, owner is very friendly

Off Preston-Fall City RD SE, turn into Jean and Harold Pinorini's property at 5935 Preston-Fall City Road SE - first left turn onto gravel driveway after large green pillars at gravel mine/Carmichael Road, driveway marked by a large red mailbox. This property is just NE of the bridge that crosses the river onto John Priebe�s property (Carmichael Rd). Park on Pinorini�s property, by the trailer. Around the back of the house, down to the river.","Ambient - KC","Raging River","Raging River","47.547016, -121.90215","47.547016","-121.90215"
"22","07RAG012515","No","47.4646027, -121.8629624 - follow written directions below, google maps will not route you to the correct road","","2021: Review maps, photos and notes carefully ** check out separate folder with 2020 recon and 2021 clear cut photos; hike down to stream from logging road is very steep; 2020: AMA and MR reconned 8/26. The road was completely redone and the water bars were no longer present. We were able to park at the hairpin turn circled in BLUE on the map. The area had been recently logged, so it was open and being sprayed with herbicides. The overgrown, abandoned road was easy to walk along with several large fallen trees and large mounds of dirt at different parts of the road (see 07RAG012515_2020 RECON in Site Photos). We sampled 8/27. We also had cell service (probably due to the clearing?).

 TALK TO KATE - see old site notes in Dropped Sites folder; this site was dropped in 2016 shuffle, but added back in for 2020 if it is accessible; road is very bumpy, may not be passable; this is downstream of the LWD experiment that Kate studied in 2015","2024: Logging road that was taken down to stream in previous years was overgrown but still useable behind log pile next to parking spot. 2023: same as last year, flagging was fine but will probably need to be replaced in 2024. easiest to download offline maps and navigate to entry coordinates from 2020. 2022: added more flagging, started descent at coordinates from 2020. 2021: Red and orange flagging placed along path/slope that we descended to stream, but more flagging would be useful; from parking spot, walk on logging road until trees on slope start to become more dense. Look for tree on right side of road with large scar at base; turn left and go down slope from there; there are rusted old drainage pipes at this spot; notes from 2020 are helpful; 2020: Couldn't find pink flagging marking the path, so we added red flagging on our way up. We went in/out at (47.4646027, -121.8629624) just before the trees start getting dense. The halfway point between our entry point from the trail and the the entry point at the stream is about (47.4647938, -121.8635819).)

Take I-90 to Exit 25. Take a right onto Highway 18, and then the first left to Gate 832. Then, go through Gate 835. You will need DNR key A786 for both gates. Follow through the road past gate 835 until mile marker 3.5 (you will cross a bridge), and after that take a right onto a road that curves N. Park at the second switchback/hairpin turn (circled in both pictures with BLUE PEN, check last map as well), and walk in ~250 m N on overgrown, abandoned road. Then, you will head NW another 170 m down towards the stream at the cedars that are flagged pink. The walk should be about 30-45 minutes depending on much you need to clip or cut down with the machete. (it�s worth it! This may be the prettiest sampling spot we�ve got) (Highlighted portion indicates the new road and bridge-old maps indicate this road is not connected, but that is no longer true). ","Ambient - KC","Raging River","Raging River","47.46564, -121.86456","47.46564","-121.86456"
"23","07RAG043443","No","32728 SE 115TH ST Issaquah, WA. Park in front of barn.","Right behind the house and to the left of a large cedar tree is a small trail, walk west on trail to access stream. Bushwhacking required (with bushwhacking, could take between 5-10 minutes to get to stream); clippers/machete are recommended as trail might be overgrown with salmonberry! The stream is ~500 feet from Nancy�s backyard.","RAG_13. Appointment on August 8, 2018�at 9am!�SME called on 7/23 and left voicemail for Nancy telling her of our appt time (her second choice) - could not get updated email address","Take I-90 E to exit 22, head towards Preston (left) and take a right onto Upper Preston RD SE to SE 115th St, take the first right turn (2nd is different driveway, follow the one with telephone lines) to the end of SE 115th ST. Park on Nancy Meyer�s property at 32728 SE 115TH ST Issaquah, WA, leave room for horse barn egress. Right behind the house and to the left of a large cedar tree is a small trail, walk west on trail to access stream. Bushwhacking required (with bushwhacking, could take between 5-10 minutes to get to stream); clippers/machete are recommended as trail might be overgrown with salmonberry! The stream is ~500 feet from Nancy�s backyard. In 2017, the trail had been previously bushwhacked by son of property owner. 2021: No bushwhacking required. Easy trail right behind rhododendron bush behind house. 3 min walk from house to stream. ","Ambient - KC","Raging River","Raging River","47.497844, -121.905615","47.497844","-121.905615"
"24","07SFS009443","No","Park at 14414 440TH AVE SE, North Bend, WA 98045","","2021, need new GPS coords. Sample at lowest flow possible. 47.468572, -121.752887","Park at 14414 440TH AVE SE, North Bend, WA 98045. From I-90, take the exit for 436th Ave SE, south then Left on SE 142nd, Right on 439th Ave SE, Left on SE 143rd St, Right on 440th. Park at end of cul-de-sac on 440th Ave SE or in �River Haven� 14414 parking lot. Knock to let them know you�re there.","Ambient - KC","Lower South Fork Snoqualmie","Snoqualmie River - S Fork tributary"," 47.468572, -121.752887","47.468572","-121.752887"
"25","07SFS041891","No","Navigate to and park at 14120 424th Ave SE","Path south of parking leads to dike. Walk east on dike to access riffles. ","2019: suggest changing site difficulty to medium due to high flows and the site being so large.  2018: Best to sample late summer.","Navigate to and park at 14120 424th Ave SE (location of cul de sac). Exit 31. From North Bend, head SE from town on E North bend Way (the main drive) and take right onto SE Cedar Falls Way. Then turn right onto Maloney Grove Ave SE, which turns into 424th Ave SE. Follow this until end (under I-90) and park in lot. Site accessible from levee. Walk east (upstream) on levy ~270 m (just prior to a private property sign) to large riffle. Walk down levee bank through blackberry. Can use a small path (may be overgrown) that will avoid the thickest blackberry and steepest part of the bank.","Ambient - KC","Lower South Fork Snoqualmie","Snoqualmie River - S Fork tributary","47.470956, -121.772703","47.470956","-121.772703"
"26","07SFS066611","No","Dirty Harry's Balcony Trailhead. Continue down the road through the yellow gate at SE end of parking lot. ~1.7 miles from trailhead parking lot there will be a white gate to the south (key needed). If you reach the fire academy you passed the white gate. Site parking is at the powerlines ~0.25 miles past white gate. Hacksaw needed for down logs. (RJG Checked 7/21/23)","Path to creek is at NE corner of power line clearcut near where parked. Use pink flagging as guide to bushwack to creek. Lots of downfall!","2019: Key786 worked to open the gate. Pink flagging was found at trail entrance. Entered woods there and walked D/S to GPS point. Bushwacking through thick understory about half way. A good place for lunch is Olallie State Park nearby. 2018: Paul said they've been trying to switch all keys to 786, but this one may not be changed yet. We may just have to walk down road to site. If that's really too far, we can call Paul (425-736-1708) and have him open the gate or change the lock.  If you get to a gate with an electronic key, code is 0477 (our road may be before this gate). 2018: Ask DNR for new key, neither key worked.
DNR land. Shallow creek, between big logjams and thick with salmonberry","Bushwhack towards the northeast (look for pink flagging) ~75ft. from trail to stream. If you walk south past the powerlines, you've gone too far. 2018: Neither key unlocked the gate. Unable to find original flagging, flagged new entrance point with pink flagging. Pink flagging located at the bottom of the reach and at the middle of the reach. Pink flagging on branch of a hemlock next to stream where we sampled.","Ambient - KC","Lower South Fork Snoqualmie","Snoqualmie River - S Fork tributary","47.440732, -121.649546","47.440732","-121.649546"
"27","07STL080295","No","47.6386690, -121.9166518. Continue down road towards Tolt River and park in parking lot.","Sample stream on East side of bridge, use trail to walk under bridge. If flows are too high, may need to sample West of bridge instead.","Best to sample late summer.  Ability to sample depends on how rock bars shift over winter flooding.  Suggestion for 2021: try to contact property owner of place along LB of river so we have the option to access from either side depending on how the cobble bars have moved through the year. ","From I-90, take exit for Preston-Fall City Rd SE (WA 203), Left onto SE 82nd St, Right onto SE High Point Way, Follow WA-202 E/Redmond-Fall City Rd SE/River St to traffic circle, turn onto WA 203 N, over the bridge and take a left onto Tolt Park Rd parking lot for trail, walk E under bridge <1/4 mile. Sample in the Tolt River.","Ambient - KC","Stossel Creek-Tolt River","Tolt River","47.63797, -121.914658","47.63797","-121.914658"
"28","07STL184007","No","7712 Tolt River Rd NE. Park along shoulder.","Enter stream at lowest water level portion.","Best to sample mid to late summer. Found salmon in 2019 (visited 10/1/19). ","From Carnation, take Entwhistle St to the East, turning into NE 45th St/Tolt River Rd NE to 7712 Tolt River Rd NE (Seattle City Light land). Enter stream at lowest water level portion.","Ambient - KC","Stossel Creek-Tolt River","Tolt River","47.66959, -121.86469","47.66959","-121.86469"
"29","07TKL047047","No","*Review directions day prior to sampling* Download offline map! Navigate to Gate 4 (47.5549311, -121.8050235) After the gate, you will drive 2.4 miles to the site. Cross a one-lane bridge, take an immediate left (Northwest) onto Forest Rd only sign is CB15. Site is downstream of next one-lane bridge, sign at bridge says ""Ten Creek."" Parking is at (47.5806217, -121.7812394). (RJG Checked 7/21/23)","Bushwack down following blue flagging. Start upstream of bridge and on south bank.","Contact Bobbi Jo to see when logging is finished. Campbell Global LLC. Sample D/S of bridge at road crossing. GPS point is at riffle 1","From I-90 E take exit 25 onto Snoqualmie parkway (a left as you exit). From Snoqualmie PkWy/202, turn left onto railroad Ave � at roundabout take Tokul Road SE. Keep right as Tokul Rd SE becomes SE 53rd Way. Turn left onto SE 53rd St, then left onto the private road/402nd Ave SE which leads to Gate 4. After crossing a one-lane bridge, take an immediate left onto Forest Rd � only sign �CB15�. Site is downstream of next one-lane bridge. Park on gravel prior to second bridge. Sample D/S of bridge, entered on right side of bridge facing D/S (see photos). Bushwack about 100 feet down stream to get to the point. There is a distinct island on the RB that you cross to get to the sampling site. Bring clippers and machete.�","Ambient - KC","Tokul Creek","Tokul Creek","47.58020, -121.78183","47.5802","-121.78183"
