"","Study_ID","Location_ID","Study_Specific_Location_ID","Field_Collection_Type","Field_Collector","Field_Collection_Start_Date","Field_Collection_Start_Time","Field_Collection_End_Date","Field_Collection_End_Time","Field_Collection_Comment","Field_Collection_Area","Field_Collection_Area_Units","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_ID","Sample_Field_Replicate_ID","Sample_Replicate_Flag","Sample_Sub_ID","Sample_Composite_Flag","Storm_Event_Qualifier","Sample_Matrix","Sample_Source","Sample_Use","Sample_Collection_Method","Sample_Preparation_Method","Sample_Method_Other","Sample_Taxon_Name","Sample_Taxon_TSN","Sample_Tissue_Type","Sample_Percent_Sorted","Result_Parameter_Name","Result_Parameter_CAS_Number","Lab_Analysis_Date","Lab_Analysis_Date_Accuracy","Lab_Analysis_Time","Result_Value","Result_Value_Units","Result_Reporting_Limit","Result_Reporting_Limit_Type","Result_Detection_Limit","Result_Detection_Limit_Type","Result_Data_Qualifier","Fraction_Analyzed","Field_Filtered_Flag","Result_Basis","Digestion_Method","Water_Level_Accuracy","Result_Method","Result_Comment","Result_Additional_Comment","Result_Lab_Replicate_ID","Result_Lab_Name","Result_Validation_Level","Result_Taxon_Name","Result_Taxon_TSN","Result_Taxon_Unidentified_Species","Result_Taxon_Life_Stage","QC_Blank_Type","QC_Blank_Censor_Factor","Lab_Batch_ID","Lab_GC_Column_ID"
"11","Ambient Monitoring","07STL080295","07STL080295","Sample","GovLocal","9/6/2022",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL080295_22",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,44926,"U",NA,3,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL080295_22",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"12","Ambient Monitoring","07STL080295","07STL080295","Sample","GovLocal","9/6/2022",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL080295_22",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,44926,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL080295_22",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"13","Ambient Monitoring","07STL080295","07STL080295","Sample","GovLocal","8/25/2020",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL080295_20",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,44196,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL080295_20",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"14","Ambient Monitoring","07STL080295","07STL080295","Sample","GovLocal","8/25/2020",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL080295_20",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,44196,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL080295_20",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"15","Ambient Monitoring","07STL184007","07STL184007","Sample","GovLocal","9/14/2023",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL184007_23",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,6.67,"Number of Individual Organisms",NA,45291,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL184007_23",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"16","Ambient Monitoring","07STL184007","07STL184007","Sample","GovLocal","9/14/2023",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL184007_23",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,6.67,"Number of Individual Organisms",NA,45291,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL184007_23",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"17","Ambient Monitoring","07GRN022903","07GRN022903","Sample","GovLocal","9/9/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07GRN022903_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,5,"Number of Individual Organisms",NA,45657,"U",NA,14,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07GRN022903_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"18","Ambient Monitoring","07GRN022903","07GRN022903","Sample","GovLocal","9/9/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07GRN022903_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,5,"Number of Individual Organisms",NA,45657,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07GRN022903_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"19","Ambient Monitoring","07HAR070087","07HAR070087","Sample","GovLocal","9/19/2019",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07HAR070087_19",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,33.33,"Number of Individual Organisms",NA,43830,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07HAR070087_19",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Pupa",NA,NA,NA,NA
"20","Ambient Monitoring","07HAR070087","07HAR070087","Sample","GovLocal","9/19/2019",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07HAR070087_19",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,33.33,"Number of Individual Organisms",NA,43830,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","Orthocladiinae Genus 5 (Coffman and Ferrington)","07HAR070087_19",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Pupa",NA,NA,NA,NA
"21","Ambient Monitoring","07TKL047047","07TKL047047","Sample","GovLocal","9/9/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07TKL047047_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,3.33,"Number of Individual Organisms",NA,45657,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07TKL047047_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"22","Ambient Monitoring","07TKL047047","07TKL047047","Sample","GovLocal","9/9/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07TKL047047_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,3.33,"Number of Individual Organisms",NA,45657,"U",NA,6,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07TKL047047_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"23","Ambient Monitoring","07TKL047047","07TKL047047","Sample","GovLocal","7/31/2023",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07TKL047047_23",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,5,"Number of Individual Organisms",NA,45291,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07TKL047047_23",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"24","Ambient Monitoring","07TKL047047","07TKL047047","Sample","GovLocal","7/31/2023",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07TKL047047_23",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,5,"Number of Individual Organisms",NA,45291,"U",NA,6,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07TKL047047_23",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"25","Ambient Monitoring","07LMS026663","07LMS026663","Sample","GovLocal","8/13/2018",NA,NA,NA,"Used kicknet to collect samples.",8,"ft2",NA,NA,NA,NA,NA,"07LMS026663_18",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,30,"Number of Individual Organisms",NA,43465,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS026663_18",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"26","Ambient Monitoring","07LMS026663","07LMS026663","Sample","GovLocal","8/13/2018",NA,NA,NA,"Used kicknet to collect samples.",8,"ft2",NA,NA,NA,NA,NA,"07LMS026663_18",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,30,"Number of Individual Organisms",NA,43465,"U",NA,4,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS026663_18",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"27","Ambient Monitoring","07LMS026663","07LMS026663","Sample","GovLocal","8/13/2018",NA,NA,NA,"Used kicknet to collect samples.",8,"ft2",NA,NA,NA,NA,NA,"07LMS026663_18",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,30,"Number of Individual Organisms",NA,43465,"U",NA,12,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS026663_18",NA,"Rhithron Associates Inc, Missoula MT",NA,"Baetis",100800,NA,"Larva",NA,NA,NA,NA
"28","Ambient Monitoring","07LMS026663","07LMS026663","Sample","GovLocal","8/13/2018",NA,NA,NA,"Used kicknet to collect samples.",8,"ft2",NA,NA,NA,NA,NA,"07LMS026663_18",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,30,"Number of Individual Organisms",NA,43465,"U",NA,3,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS026663_18",NA,"Rhithron Associates Inc, Missoula MT",NA,"Baetis",100800,NA,"Larva",NA,NA,NA,NA
"29","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","9/4/2024",NA,NA,NA,"QC sample; original collected weeks before.",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_24_R",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,13.33,"Number of Individual Organisms",NA,45657,"U",NA,5,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS033235_24_R",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"30","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","9/4/2024",NA,NA,NA,"QC sample; original collected weeks before.",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_24_R",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,13.33,"Number of Individual Organisms",NA,45657,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS033235_24_R",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"31","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","7/10/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,16.67,"Number of Individual Organisms",NA,45657,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS033235_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Pupa",NA,NA,NA,NA
"32","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","7/10/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,16.67,"Number of Individual Organisms",NA,45657,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","Orthocladiinae Genus 5 (Coffman and Ferrington)","07LMS033235_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Pupa",NA,NA,NA,NA
"33","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","9/7/2023",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_23",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,10,"Number of Individual Organisms",NA,45291,"U",NA,7,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS033235_23",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"34","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","9/7/2023",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_23",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,10,"Number of Individual Organisms",NA,45291,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS033235_23",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"35","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","8/12/2020",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_20",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,60,"Number of Individual Organisms",NA,44196,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS033235_20",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"36","Ambient Monitoring","07LMS033235","07LMS033235","Sample","GovLocal","8/12/2020",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS033235_20",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,60,"Number of Individual Organisms",NA,44196,"U",NA,4,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","Orthocladiinae Genus 5 (Coffman and Ferrington)","07LMS033235_20",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"37","Ambient Monitoring","07LMS103591","07LMS103591","Sample","GovLocal","7/10/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS103591_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,40,"Number of Individual Organisms",NA,45657,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS103591_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"38","Ambient Monitoring","07LMS103591","07LMS103591","Sample","GovLocal","7/10/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS103591_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,40,"Number of Individual Organisms",NA,45657,"U",NA,5,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS103591_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"39","Ambient Monitoring","07LMS213875","07LMS213875","Sample","GovLocal","9/4/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS213875_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,26.67,"Number of Individual Organisms",NA,45657,"U",NA,37,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS213875_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"40","Ambient Monitoring","07LMS213875","07LMS213875","Sample","GovLocal","9/4/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07LMS213875_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,26.67,"Number of Individual Organisms",NA,45657,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07LMS213875_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
